id_subsistema,din_instante,val_cargaenergiamwmed
N,2000-01-01,2243.5125
NE,2000-01-01,4646.37083333
S,2000-01-01,4800.65
SE/CO,2000-01-01,19045.99583333
N,2000-01-02,2259.80833333
NE,2000-01-02,4895.72083333
S,2000-01-02,4899.8
SE/CO,2000-01-02,19398.025
N,2000-01-03,2407.42916667
NE,2000-01-03,5736.00833333
S,2000-01-03,6261.55416667
SE/CO,2000-01-03,23061.74583333
N,2000-01-04,2404.21666667
NE,2000-01-04,5783.77083333
S,2000-01-04,6733.74166667
SE/CO,2000-01-04,24228.24166667
N,2000-01-05,2439.65
NE,2000-01-05,5753.12083333
S,2000-01-05,6961.17083333
SE/CO,2000-01-05,24807.9375
N,2000-01-06,2426.68333333
NE,2000-01-06,5802.94166667
S,2000-01-06,7110.3625
SE/CO,2000-01-06,25334.64583333
N,2000-01-07,2430.90833333
NE,2000-01-07,5658.54166667
S,2000-01-07,7105.35416667
SE/CO,2000-01-07,25410.19166667
N,2000-01-08,2286.35
NE,2000-01-08,5394.375
S,2000-01-08,6307.4875
SE/CO,2000-01-08,22866.175
N,2000-01-09,2242.66666667
NE,2000-01-09,4931.13333333
S,2000-01-09,5523.62083333
SE/CO,2000-01-09,20849.1875
N,2000-01-10,2417.59583333
NE,2000-01-10,5643.17083333
S,2000-01-10,7111.32083333
SE/CO,2000-01-10,25441.55416667
N,2000-01-11,2416.76666667
NE,2000-01-11,5724.17916667
S,2000-01-11,7435.05833333
SE/CO,2000-01-11,26375.7875
N,2000-01-12,2418.35833333
NE,2000-01-12,5813.52916667
S,2000-01-12,7425.49166667
SE/CO,2000-01-12,26604.4
N,2000-01-13,2428.52083333
NE,2000-01-13,5888.7625
S,2000-01-13,7505.575
SE/CO,2000-01-13,26731.56666667
N,2000-01-14,2440.20416667
NE,2000-01-14,5929.91666667
S,2000-01-14,7532.275
SE/CO,2000-01-14,27027.00833333
N,2000-01-15,2352.90833333
NE,2000-01-15,5504.18333333
S,2000-01-15,6435.9125
SE/CO,2000-01-15,24565.8
N,2000-01-16,2263.8375
NE,2000-01-16,5123.45
S,2000-01-16,5621.175
