,DIA,SEMANA,MÊS,SE/CO Convencional A+1,SE/CO Convencional A+2,SE/CO Convencional A+3,SE/CO Convencional A+4,Sul Convencional A+1,Sul Convencional A+2,Sul Convencional A+3,Sul Convencional A+4,Nordeste Convencional A+1,Nordeste Convencional A+2,Nordeste Convencional A+3,Nordeste Convencional A+4,Norte Convencional A+1,Norte Convencional A+2,Norte Convencional A+3,Norte Convencional A+4
0,2012-01-02,s01 , 01/2012,85.5,91.5,93.0,93.0,84.34,90.45,91.95,91.95,81.39,87.28,89.07,89.28,74.23,82.1,83.81,84.0
1,2012-01-09,s02 , 01/2012,83.0,89.5,92.5,92.5,81.88,88.58,91.58,91.59,78.97,85.45,88.81,88.96,71.42,79.86,83.21,83.35
2,2012-01-16,s03 , 01/2012,81.5,89.0,91.5,91.5,80.38,88.01,90.51,90.51,77.35,84.99,87.85,87.96,69.59,78.79,81.57,81.71
3,2012-01-23,s04 , 01/2012,81.0,89.0,90.5,90.0,79.84,88.05,89.55,89.04,76.83,85.0,86.85,86.37,70.06,79.57,81.36,80.94
4,2012-01-30,s05 , 01/2012,81.0,88.5,89.5,89.5,79.9,87.58,88.58,88.58,77.15,84.96,86.2,86.23,69.91,79.08,80.27,80.37
5,2012-02-06,s06 , 02/2012,80.0,88.5,89.0,89.0,78.81,87.4,87.9,87.9,75.8,84.81,85.63,85.65,69.0,78.89,79.64,79.7
6,2012-02-13,s07 , 02/2012,80.0,88.0,90.0,90.0,78.76,86.85,88.85,88.84,75.5,84.16,86.5,86.56,68.09,77.81,80.02,80.14
7,2012-02-20,s08 , 02/2012,83.0,89.5,89.5,90.0,81.71,88.31,88.33,88.82,78.83,85.62,85.91,86.46,70.88,78.96,79.24,79.76
8,2012-02-27,s09 , 02/2012,89.0,94.5,96.0,97.0,87.64,93.31,94.81,95.81,84.36,90.9,92.75,93.77,75.65,83.85,85.61,86.69
9,2012-03-05,s10 , 03/2012,105.5,103.0,102.5,103.0,104.25,101.86,101.36,101.86,101.08,99.34,99.12,99.68,92.03,92.54,92.28,92.91
