id_subsistema,ear_data,ear_max_subsistema,ear_verif_subsistema_mwmes,ear_verif_subsistema_percentual,verif_max_ratio
NE,2000-01-01,49967.0,11171.0,22.36000061,54.13970639753221
N,2000-01-01,12311.0,7656.0,62.18999863,54.13970639753221
SE/CO,2000-01-01,155759.0,27853.0,17.87999916,54.13970639753221
S,2000-01-01,13976.0,7094.0,50.75999832,54.13970639753221
NE,2000-01-02,49967.0,11395.0,22.80999947,54.13970639753221
N,2000-01-02,12311.0,7947.0,64.55000305,54.13970639753221
SE/CO,2000-01-02,155759.0,28671.0,18.40999985,54.13970639753221
S,2000-01-02,13976.0,7084.0,50.68999863,54.13970639753221
NE,2000-01-03,49967.0,11523.0,23.05999947,54.13970639753221
N,2000-01-03,12311.0,8369.0,67.98000336,54.13970639753221
SE/CO,2000-01-03,155759.0,30000.0,19.26000023,54.13970639753221
S,2000-01-03,13976.0,7016.0,50.20000076,54.13970639753221
NE,2000-01-04,49967.0,11754.0,23.52000046,54.13970639753221
N,2000-01-04,12311.0,8735.0,70.94999695,54.13970639753221
SE/CO,2000-01-04,155759.0,31898.0,20.47999954,54.13970639753221
S,2000-01-04,13976.0,6980.0,49.93999863,54.13970639753221
NE,2000-01-05,49967.0,12032.0,24.07999992,54.13970639753221
N,2000-01-05,12311.0,9099.0,73.91000366,54.13970639753221
SE/CO,2000-01-05,155759.0,33627.0,21.59000015,54.13970639753221
S,2000-01-05,13976.0,6946.0,49.70000076,54.13970639753221
NE,2000-01-06,49967.0,12219.0,24.45000076,54.13970639753221
N,2000-01-06,12311.0,9440.0,76.68000031,54.13970639753221
SE/CO,2000-01-06,155759.0,35061.0,22.51000023,54.13970639753221
S,2000-01-06,13976.0,6914.0,49.47000122,54.13970639753221
NE,2000-01-07,49967.0,12496.0,25.01000023,54.13970639753221
N,2000-01-07,12311.0,9741.0,79.12000275,54.13970639753221
SE/CO,2000-01-07,155759.0,36281.0,23.29000092,54.13970639753221
S,2000-01-07,13976.0,6868.0,49.13999939,54.13970639753221
NE,2000-01-08,49967.0,12805.0,25.62999916,54.13970639753221
N,2000-01-08,12311.0,10061.0,81.72000122,54.13970639753221
SE/CO,2000-01-08,155759.0,37631.0,24.15999985,54.13970639753221
S,2000-01-08,13976.0,6832.0,48.88999939,54.13970639753221
NE,2000-01-09,49967.0,13066.0,26.14999962,54.13970639753221
N,2000-01-09,12311.0,10289.0,83.56999969,54.13970639753221
SE/CO,2000-01-09,155759.0,38690.0,24.84000015,54.13970639753221
S,2000-01-09,13976.0,6813.0,48.75,54.13970639753221
NE,2000-01-10,49967.0,13292.0,26.60000038,54.13970639753221
N,2000-01-10,12311.0,10461.0,84.97000122,54.13970639753221
SE/CO,2000-01-10,155759.0,39457.0,25.32999992,54.13970639753221
S,2000-01-10,13976.0,6773.0,48.45999908,54.13970639753221
NE,2000-01-11,49967.0,13518.0,27.04999924,54.13970639753221
N,2000-01-11,12311.0,10582.0,85.94999695,54.13970639753221
SE/CO,2000-01-11,155759.0,39831.0,25.56999969,54.13970639753221
S,2000-01-11,13976.0,6756.0,48.34000015,54.13970639753221
NE,2000-01-12,49967.0,13754.0,27.53000069,54.13970639753221
N,2000-01-12,12311.0,10698.0,86.90000153,54.13970639753221
SE/CO,2000-01-12,155759.0,40189.0,25.79999924,54.13970639753221
S,2000-01-12,13976.0,6765.0,48.40999985,54.13970639753221
NE,2000-01-13,49967.0,13950.0,27.92000008,54.13970639753221
N,2000-01-13,12311.0,10809.0,87.80000305,54.13970639753221
SE/CO,2000-01-13,155759.0,40447.0,25.96999931,54.13970639753221
S,2000-01-13,13976.0,6745.0,48.25999832,54.13970639753221
NE,2000-01-14,49967.0,14142.0,28.29999924,54.13970639753221
N,2000-01-14,12311.0,10910.0,88.62000275,54.13970639753221
SE/CO,2000-01-14,155759.0,40561.0,26.04000092,54.13970639753221
S,2000-01-14,13976.0,6738.0,48.20999908,54.13970639753221
NE,2000-01-15,49967.0,14487.0,28.98999977,54.13970639753221
N,2000-01-15,12311.0,10951.0,88.94999695,54.13970639753221
SE/CO,2000-01-15,155759.0,40857.0,26.22999954,54.13970639753221
S,2000-01-15,13976.0,6762.0,48.38000107,54.13970639753221
NE,2000-01-16,49967.0,14791.0,29.60000038,54.13970639753221
N,2000-01-16,12311.0,10971.0,89.11000061,54.13970639753221
SE/CO,2000-01-16,155759.0,41142.0,26.40999985,54.13970639753221
S,2000-01-16,13976.0,6815.0,48.75999832,54.13970639753221
NE,2000-01-17,49967.0,14991.0,30.0,54.13970639753221
N,2000-01-17,12311.0,10974.0,89.13999939,54.13970639753221
SE/CO,2000-01-17,155759.0,41140.0,26.40999985,54.13970639753221
S,2000-01-17,13976.0,6798.0,48.63999939,54.13970639753221
NE,2000-01-18,49967.0,15232.0,30.47999954,54.13970639753221
N,2000-01-18,12311.0,10974.0,89.13999939,54.13970639753221
SE/CO,2000-01-18,155759.0,41225.0,26.46999931,54.13970639753221
S,2000-01-18,13976.0,6750.0,48.29999924,54.13970639753221
NE,2000-01-19,49967.0,15336.0,30.69000053,54.13970639753221
N,2000-01-19,12311.0,10988.0,89.25,54.13970639753221
SE/CO,2000-01-19,155759.0,41319.0,26.53000069,54.13970639753221
S,2000-01-19,13976.0,6706.0,47.97999954,54.13970639753221
NE,2000-01-20,49967.0,15616.0,31.25,54.13970639753221
N,2000-01-20,12311.0,11017.0,89.48999786,54.13970639753221
SE/CO,2000-01-20,155759.0,41550.0,26.68000031,54.13970639753221
S,2000-01-20,13976.0,6681.0,47.81000137,54.13970639753221
NE,2000-01-21,49967.0,16013.0,32.04999924,54.13970639753221
N,2000-01-21,12311.0,11004.0,89.37999725,54.13970639753221
SE/CO,2000-01-21,155759.0,41671.0,26.75,54.13970639753221
S,2000-01-21,13976.0,6631.0,47.45000076,54.13970639753221
NE,2000-01-22,49967.0,16287.0,32.59999847,54.13970639753221
N,2000-01-22,12311.0,11035.0,89.62999725,54.13970639753221
SE/CO,2000-01-22,155759.0,41968.0,26.94000053,54.13970639753221
S,2000-01-22,13976.0,6591.0,47.15999985,54.13970639753221
NE,2000-01-23,49967.0,16558.0,33.13999939,54.13970639753221
N,2000-01-23,12311.0,11087.0,90.05999756,54.13970639753221
SE/CO,2000-01-23,155759.0,42141.0,27.05999947,54.13970639753221
S,2000-01-23,13976.0,6597.0,47.20000076,54.13970639753221
NE,2000-01-24,49967.0,16705.0,33.43000031,54.13970639753221
N,2000-01-24,12311.0,11110.0,90.23999786,54.13970639753221
SE/CO,2000-01-24,155759.0,42110.0,27.04000092,54.13970639753221
