id_subsistema,ena_data,ena_bruta_regiao_mwmed,ena_armazenavel_regiao_mwmed,month,ena_bruta_regiao_percentualmlt,ena_armazenavel_regiao_percentualmlt,max,min
N,2000-01-01,10392.56152344,10381.55273438,1,64.79194158405019,64.72330780054284,39296.8046875,1878.0
NE,2000-01-01,10174.40234375,9990.51074219,1,75.21473381476054,73.85530675508642,33141.0,1859.0
S,2000-01-01,1772.41503906,1772.41503906,1,23.64256325117585,23.64256325117585,30770.0,1490.37805176
SE/CO,2000-01-01,27179.79101563,27097.95703125,1,41.26675739565864,41.14250981854565,110765.0,16210.0
N,2000-01-02,10888.61132813,10867.50390625,1,67.88454102604182,67.75294778578488,39296.8046875,1878.0
NE,2000-01-02,10052.96875,9895.765625,1,74.3170304291964,73.15489915089219,33141.0,1859.0
S,2000-01-02,1915.10095215,1915.10095215,1,25.545876330188776,25.545876330188776,30770.0,1490.37805176
SE/CO,2000-01-02,30354.52929688,30070.77734375,1,46.086925231817304,45.656107974847735,110765.0,16210.0
N,2000-01-03,11226.66601563,11210.15039063,1,69.99212725637709,69.88916136025894,39296.8046875,1878.0
NE,2000-01-03,10730.20507813,10556.05371094,1,79.32353090254111,78.03610897011487,33141.0,1859.0
S,2000-01-03,2064.64892578,2064.64892578,1,27.540723669956108,27.540723669956108,30770.0,1490.37805176
SE/CO,2000-01-03,36120.01171875,35387.05078125,1,54.84058946107587,53.72774348036494,110765.0,16210.0
N,2000-01-04,11387.32324219,11370.81445313,1,70.99373726511777,70.89081398734972,39296.8046875,1878.0
NE,2000-01-04,10194.2578125,10001.50390625,1,75.36151627394999,73.93657422226721,33141.0,1859.0
S,2000-01-04,2191.43798828,2191.43798828,1,29.231985797422215,29.231985797422215,30770.0,1490.37805176
SE/CO,2000-01-04,45823.453125,44639.3515625,1,69.57321055387371,67.77540306214546,110765.0,16210.0
N,2000-01-05,11516.74707031,11293.43457031,1,71.80062410357642,70.40839270592201,39296.8046875,1878.0
NE,2000-01-05,10387.76953125,10197.74316406,1,76.79206048913515,75.38728189447288,33141.0,1859.0
S,2000-01-05,2281.89599609,2281.89599609,1,30.438621446574416,30.438621446574416,30770.0,1490.37805176
SE/CO,2000-01-05,50955.57421875,49668.96484375,1,77.36524971926441,75.41180582006105,110765.0,16210.0
N,2000-01-06,11693.97558594,10776.88378906,1,72.9055470434914,67.1879808788225,39296.8046875,1878.0
NE,2000-01-06,10911.27734375,10722.32128906,1,80.66211589256855,79.26524963192514,33141.0,1859.0
S,2000-01-06,2369.93603516,2369.93603516,1,31.613003375455126,31.613003375455126,30770.0,1490.37805176
SE/CO,2000-01-06,55203.55859375,54412.05078125,1,83.81491449125863,82.61317747803352,110765.0,16210.0
N,2000-01-07,11904.66699219,10097.46582031,1,74.21909281901766,62.95218114426073,39296.8046875,1878.0
NE,2000-01-07,11791.25878906,11595.97167969,1,87.16741890052147,85.72375002912659,33141.0,1859.0
S,2000-01-07,2344.85107422,2344.85107422,1,31.278390566035636,31.278390566035636,30770.0,1490.37805176
SE/CO,2000-01-07,57764.765625,56942.33203125,1,87.70356503819879,86.4548737746124,110765.0,16210.0
N,2000-01-08,12223.06835938,9241.17382813,1,76.20415133772131,57.61366853492165,39296.8046875,1878.0
NE,2000-01-08,12625.7265625,12435.99121094,1,93.33626001135492,91.93363276302304,33141.0,1859.0
S,2000-01-08,2227.76196289,2227.76196289,1,29.716517833274548,29.716517833274548,30770.0,1490.37805176
SE/CO,2000-01-08,60160.06640625,59376.98828125,1,91.3403220748012,90.15138375707686,110765.0,16210.0
N,2000-01-09,12559.40429688,8401.1640625,1,78.30102210110012,52.37666670991678,39296.8046875,1878.0
NE,2000-01-09,13307.07617188,13126.78808594,1,98.37316810412251,97.04038019817934,33141.0,1859.0
S,2000-01-09,2154.48803711,2154.48803711,1,28.73910374755657,28.73910374755657,30770.0,1490.37805176
SE/CO,2000-01-09,61060.23046875,60386.50390625,1,92.70703059592692,91.68411947090354,110765.0,16210.0
N,2000-01-10,12812.43847656,7791.48095703,1,79.87855192871936,48.57562573793907,39296.8046875,1878.0
NE,2000-01-10,13879.09765625,13717.12207031,1,102.60186304163332,101.4044511279546,33141.0,1859.0
S,2000-01-10,2290.43798828,2290.43798828,1,30.552564618005768,30.552564618005768,30770.0,1490.37805176
SE/CO,2000-01-10,61120.62890625,60510.61328125,1,92.79873283403302,91.87255327695108,110765.0,16210.0
N,2000-01-11,12988.06347656,7433.18896484,1,80.97347782499948,46.34187097250918,39296.8046875,1878.0
NE,2000-01-11,14135.53710938,13958.46386719,1,104.49760340604146,103.18858137928635,33141.0,1859.0
S,2000-01-11,2694.37207031,2694.37207031,1,35.94071404871969,35.94071404871969,30770.0,1490.37805176
SE/CO,2000-01-11,59950.58203125,59260.54296875,1,91.02226440922405,89.97458620708701,110765.0,16210.0
N,2000-01-12,13165.578125,7165.66308594,1,82.0801846466138,44.673993319938596,39296.8046875,1878.0
NE,2000-01-12,14109.82324219,13922.23144531,1,104.30751246893279,102.92073154643182,33141.0,1859.0
S,2000-01-12,3293.375,3293.375,1,43.93092195191276,43.93092195191276,30770.0,1490.37805176
SE/CO,2000-01-12,57933.828125,57359.48046875,1,87.96025064583247,87.08822534668266,110765.0,16210.0
N,2000-01-13,13284.11816406,6688.58105469,1,82.81921700825282,41.699647579494204,39296.8046875,1878.0
NE,2000-01-13,14132.93945313,13942.62011719,1,104.47840011362341,103.07145573410193,33141.0,1859.0
S,2000-01-13,3673.5690918,3673.5690918,1,49.00239937961054,49.00239937961054,30770.0,1490.37805176
SE/CO,2000-01-13,55184.5078125,54732.6328125,1,83.78598991389195,83.09991340993945,110765.0,16210.0
N,2000-01-14,13349.64355469,6208.1171875,1,83.2277320093327,38.704217940130654,39296.8046875,1878.0
NE,2000-01-14,14542.92675781,14346.27636719,1,107.50924998048367,106.05550299021075,33141.0,1859.0
S,2000-01-14,3687.06494141,3687.06494141,1,49.182422946890796,49.182422946890796,30770.0,1490.37805176
SE/CO,2000-01-14,52163.33203125,51799.2890625,1,79.19897421745823,78.64625205471745,110765.0,16210.0
N,2000-01-15,13335.69433594,5317.27587891,1,83.14076625364727,33.15030922410925,39296.8046875,1878.0
NE,2000-01-15,14744.38769531,14548.515625,1,108.99855915818125,107.55056593633242,33141.0,1859.0
S,2000-01-15,3603.69189453,3603.69189453,1,48.0702948669186,48.0702948669186,30770.0,1490.37805176
SE/CO,2000-01-15,49134.9609375,48867.8828125,1,74.601033962585,74.19553238298403,110765.0,16210.0
N,2000-01-16,13294.17285156,4499.98095703,1,82.88190248994822,28.054922036267836,39296.8046875,1878.0
NE,2000-01-16,14757.63183594,14573.35058594,1,109.09646707241882,107.73415951886352,33141.0,1859.0
S,2000-01-16,3697.15405273,3697.15405273,1,49.31700341888779,49.31700341888779,30770.0,1490.37805176
