,Unnamed: 0,Ano,(jan)MWmed,(fev)MWmed,(mar)MWmed,(abr)MWmed,(mai)MWmed,(jun)MWmed,(jul)MWmed,(ago)MWmed,(set)MWmed,(out)MWmed,(nov)MWmed,(dez)MWmed,(min)MWmed,(jnd)MWmed,(max)MWmed,(jan)% med.,(fev)% med.,(mar)% med.,(abr)% med.,(mai)% med.,(jun)% med.,(jul)% med.,(ago)% med.,(set)% med.,(out)% med.,(nov)% med.,(dez)% med.,(min)% med.,(jnd)% med.,(max)% med.,Subsistema
0,0,1931,69359.69,103272.43,107218.27,80246.41,55019.58,40765.81,31993.57,25434.17,25948.88,27695.6,31898.99,47609.16,25434.17,53871.880000000005,107218.27,105.40880523341384,145.6714222699064,155.21659836948407,146.77607826042652,138.15471299059348,125.39915548454071,125.10197615800509,123.9449476462735,132.21064003433438,117.09160198974853,101.53584329964436,99.07104654737606,60.84440090119515,128.8739622335259,256.4908311854716,SE/CO
1,1,1932,69378.19,76951.88,68566.18,51823.27,40237.38,35224.44,27384.85,21334.67,17898.94,25332.62,31587.31,58570.51,17898.94,43690.85333333333,76951.88,105.43692045274103,108.54484402025948,99.2611541185075,94.78824452372652,101.03646166316511,108.35342235112894,107.08085567789227,103.96740118511912,91.19585559516052,107.10138283328554,100.5437525895738,121.88078349867033,42.818392778944144,104.51859824514231,184.08664551745392,SE/CO
2,2,1933,79952.56,68553.65,58429.42,53341.08,38425.43,28005.79,21773.81,17187.93,16172.28,21034.83,22702.35,44445.41,16172.28,39168.71166666667,79952.56,121.50723027961676,96.6986803476336,84.58647781858353,97.5644210448252,96.48663717880326,86.14823094837061,85.14044101639587,83.75964633395994,82.39844993751042,88.93116387736761,72.26254662400537,92.48752305075772,38.68782381364835,93.70059236963448,191.26496416894517,SE/CO
3,3,1934,57587.48,52748.75,52134.03,43281.56,30991.25,22912.1,18645.76,13764.92,13885.41,15146.49,18358.59,46559.71,13764.92,32168.004166666666,57587.48,87.51808814605593,74.40500272395765,75.47283495520524,79.16488273797351,77.81933720631328,70.47960019382285,72.90906963392595,67.07874834347429,70.74675065895511,64.03640934378407,58.43617360431844,96.8872207920142,32.92886344837984,76.9532853522636,137.76253441765775,SE/CO
4,4,1935,72107.46,91347.3,80328.83,71662.2,44950.72,33590.26,25174.41,23909.13,21174.44,38087.33,30673.44,39462.39,21174.44,47705.65916666667,91347.3,109.58470556913068,128.85037285862083,116.28958146405984,131.074981117714,112.87170531509926,103.32654340748164,98.43754353177356,116.5131736603926,107.88466649692052,161.0258122305424,97.63486547069492,82.11823683847199,50.65414425626245,114.12293979290232,218.5238103874333,SE/CO
5,5,1936,46967.01,43802.82,66161.44,47741.63,33508.06,25507.14,19555.58,16929.96,19539.38,16678.07,21244.88,40447.06,16678.07,33173.58583333334,66161.44,71.37771823209992,61.78627818511389,95.7798858350048,87.32265058536981,84.13907216615584,78.46216755722376,76.4666682372727,82.50251554713618,99.5539667097028,70.51163124818257,67.62335756084279,84.16726033319033,39.89779015152434,79.35886863119738,158.2734242776693,SE/CO
6,6,1937,75870.87,58639.46,58139.96,52206.86,38273.82,29598.69,21238.2,16973.56,14705.72,24781.34,39306.45,60809.57,14705.72,40878.708333333336,75870.87,115.3041162484962,82.7141720141502,84.16743546167895,95.4898564196346,96.10594295982696,91.04812904364516,83.04608676177567,82.71498561073085,74.92626477002906,104.7706783768048,125.11410385925404,126.54009732572308,35.17947403908693,97.79129879828436,181.50062026802763,SE/CO
7,7,1938,64624.84,59018.22,53197.16,41785.34,33534.54,25481.22,22237.06,18444.31,16080.85,21816.51,26681.52,46346.43,16080.85,35770.666666666664,64624.84,98.21305678846792,83.24843375175965,77.01189562298649,76.42819577821027,84.20556370971164,78.38243539661764,86.95185157342955,89.88219538210365,81.93261022426117,92.23595465436274,84.92841415092852,96.44340130837648,38.46910216578658,85.57168498793885,154.5975226687402,SE/CO
8,8,1939,65742.06,67931.86,45868.69,40958.11,32685.31,24024.45,18726.12,14969.86,13492.15,15959.2,28901.43,44957.9,13492.15,34518.095,67931.86,99.9109424823468,95.82161147597829,66.40269455442967,74.9151364996784,82.07313872731443,73.90128494884745,73.22329511123459,72.95062170190904,68.74307434229317,67.47238891646307,91.99448219569462,93.55397582255762,32.27633469537477,82.57524466202514,162.50867725598528,SE/CO
9,9,1940,66633.04,89863.79,86105.56,53644.73,40825.47,30245.42,23926.15,20451.07,18182.24,18064.2,35992.78,42625.46,18064.2,43879.99249999999,89863.79,101.26500183997751,126.75780070115704,124.65237616592312,98.11981730696051,102.51316150643252,93.03752642901584,93.55656923728276,99.66147118070984,92.63928106561347,76.37191888470427,114.5665511666223,88.70034530672912,43.21373281531772,104.97106275579016,214.97491230344104,SE/CO
10,10,1941,57804.45,51950.19,55720.21,50923.83,32517.3,25679.57,21699.93,19843.4,21730.63,27460.15,34173.37,49740.8,19843.4,37436.98583333333,57804.45,87.84782647780875,73.27859007957757,80.66443766191442,93.1431083010524,81.65126394510872,78.99257714261405,84.85155378066214,96.70019403519218,110.71847804796616,116.0961652529208,108.7752916735222,103.50682751184272,47.46998957869575,89.5579047625968,138.28157670067827,SE/CO
11,11,1942,56227.91,66693.89,78454.55,61066.65,43544.68,40770.57,30748.75,21334.13,21144.73,23663.17,32289.19,47800.57,21144.73,43644.89916666666,78454.55,85.45189307899042,94.07538694511874,113.57624383986617,111.69500790754472,109.34112488076492,125.41379765601006,120.2344530287948,103.9647696751572,107.73329279156523,100.04327342450634,102.77786651277808,99.46935622180916,50.583071083802935,104.40866527938222,187.6813787406021,SE/CO
12,12,1943,90273.65,86089.39,84705.95,56175.97,38298.01,31877.03,23924.32,18857.14,17261.76,27154.43,38983.76,49448.91,17261.76,46920.86000000001,90273.65,137.19261995777902,121.433802648477,122.62620373053583,102.7496254234348,96.16668429059034,98.05649983050426,93.54941353017134,91.89398474801617,87.94939657199355,114.8036406439466,124.08696785042235,102.89942658780387,41.29411125663681,112.24551917632272,215.95539195555327,SE/CO
13,13,1944,46034.62,61976.41,68208.3,46837.48,31629.74,23528.12,18883.97,15157.69,13043.09,14718.43,28640.19,35308.66,13043.09,33663.89166666667,68208.3,69.96072637542377,87.42112286776684,98.74306222778338,85.66889945607737,79.42259195121252,72.37453096452474,73.84052372737656,73.86594858367478,66.45509466787878,62.22665504534925,91.16294415315474,73.47464014037372,31.20207960198306,80.5317932710629,163.16998549545707,SE/CO
14,14,1945,52471.46,86594.94,80186.03,78618.28,46822.55,32643.64,28330.88,19257.25,16942.23,20753.66,36035.14,68439.05,16942.23,47257.925833333335,86594.94,79.74305980105828,122.14690862970116,116.0828542873654,143.79811904333323,117.57188907544756,100.41465845867832,110.78004343670626,93.8437874348249,86.32137772069164,87.74243188631279,114.70138485013936,142.4164658273365,40.52972179867696,113.05185839216614,207.15506915991125,SE/CO
15,15,1946,91300.61,76513.59,85936.09,60060.11,41179.35,34428.49,33110.53,22546.35,18343.58,23144.77,27777.46,38095.97,18343.58,46036.40833333333,91300.61,138.75333377617278,107.9266119551606,124.40703964887548,109.85397858533264,103.40175770860472,105.90501134671322,129.46953824280664,109.87211968641236,93.46131518281388,97.85157920334898,88.41683783160968,79.27482058363225,43.88207421288548,110.12970679540376,218.41211713862364,SE/CO
16,16,1947,64784.44,75499.14,109291.02,70238.99,43717.87,31965.02,26565.07,22705.22,26391.71,27942.59,30202.65,52319.71,22705.22,48468.61916666667,109291.02,98.45560754547466,106.49567463411852,158.2172549205583,128.4718343558711,109.77600669452724,98.327164676636,103.87533350531795,110.64631966355192,134.4668775955087,118.1358275987062,96.13632085636578,108.87334338087912,54.31612308283833,115.9481160857232,261.4493272546554,SE/CO
17,17,1948,62074.31,68479.08,72409.29,53065.59,34901.07,29402.37,22134.31,20214.21,15826.17,17610.85,26737.89,58696.79,15826.17,40129.32749999999,72409.29,94.3369102830268,96.5934952758902,104.82470649964316,97.06053131567762,87.63693414080245,90.4442317531283,86.55007621512364,98.50721294073205,80.63500486310707,74.45524339249422,85.10784226093453,122.1435625890387,37.85984886514747,95.99860700409548,173.21972251230926,SE/CO
18,18,1949,63145.39,87402.68,68371.55,50562.57,37633.15,29110.84,22278.47,17581.03,14558.4,18274.02,25418.03,42011.46,14558.4,39695.632500000014,87402.68,95.96467510016204,123.28627016718308,98.97939424175657,92.48233947622448,94.49721421323014,89.54746027236028,87.11377388571614,85.67528812292926,74.17566314522452,77.25899697398519,80.90667168664774,87.42265793354107,34.82705062048258,94.96110853456246,209.08736954101005,SE/CO
19,19,1950,54011.33,78705.57,72279.43,53911.04,38287.15,28095.04,22279.7,16440.41,13806.14,20595.5,35295.91,51976.4,13806.14,40473.635,78705.57,82.08326427594531,111.0185198747011,104.63671216375003,98.60691619900484,96.13941472250065,86.42277166342068,87.11858345934841,80.1168568399626,70.34286665950998,87.0737622142097,112.34838428672352,108.15894134164594,33.02747119556197,96.82226995685896,188.28187647708097,SE/CO
