,Subsistema,Ano,(jan)MWmed,(jan)% med.,(fev)MWmed,(fev)% med.,(mar)MWmed,(mar)% med.,(abr)MWmed,(abr)% med.,(mai)MWmed,(mai)% med.,(jun)MWmed,(jun)% med.,(jul)MWmed,(jul)% med.,(ago)MWmed,(ago)% med.,(set)MWmed,(set)% med.,(out)MWmed,(out)% med.,(nov)MWmed,(nov)% med.,(dez)MWmed,(dez)% med.,(min)MWmed,(min)% med.,(jandez)MWmed,(jandez)% med.,(max)MWmed,(max)% med.
0,SECO,1931,69359.69,105.41,103272.43,145.67,107218.27,155.22,80246.41,146.78,55019.58,138.15,40765.81,125.4,31993.57,125.1,25434.17,123.94,25948.88,132.21,27695.6,117.09,31898.99,101.54,47609.16,99.07,25434.17,60.84,53871.88,128.87,107218.27,256.49
1,SECO,1932,69378.19,105.44,76951.88,108.54,68566.18,99.26,51823.27,94.79,40237.38,101.04,35224.44,108.35,27384.85,107.08,21334.67,103.97,17898.94,91.2,25332.62,107.1,31587.31,100.54,58570.51,121.88,17898.94,42.82,43690.85,104.52,76951.88,184.09
2,SECO,1933,79952.56,121.51,68553.65,96.7,58429.42,84.59,53341.08,97.56,38425.43,96.49,28005.79,86.15,21773.81,85.14,17187.93,83.76,16172.28,82.4,21034.83,88.93,22702.35,72.26,44445.41,92.49,16172.28,38.69,39168.71,93.7,79952.56,191.26
3,SECO,1934,57587.48,87.52,52748.75,74.4,52134.03,75.47,43281.56,79.16,30991.25,77.82,22912.1,70.48,18645.76,72.91,13764.92,67.08,13885.41,70.75,15146.49,64.04,18358.59,58.44,46559.71,96.89,13764.92,32.93,32168.0,76.95,57587.48,137.76
4,SECO,1935,72107.46,109.58,91347.3,128.85,80328.83,116.29,71662.2,131.07,44950.72,112.87,33590.26,103.33,25174.41,98.44,23909.13,116.51,21174.44,107.88,38087.33,161.03,30673.44,97.63,39462.39,82.12,21174.44,50.65,47705.66,114.12,91347.3,218.52
5,SECO,1936,46967.01,71.38,43802.82,61.79,66161.44,95.78,47741.63,87.32,33508.06,84.14,25507.14,78.46,19555.58,76.47,16929.96,82.5,19539.38,99.55,16678.07,70.51,21244.88,67.62,40447.06,84.17,16678.07,39.9,33173.59,79.36,66161.44,158.27
6,SECO,1937,75870.87,115.3,58639.46,82.71,58139.96,84.17,52206.86,95.49,38273.82,96.11,29598.69,91.05,21238.2,83.05,16973.56,82.71,14705.72,74.93,24781.34,104.77,39306.45,125.11,60809.57,126.54,14705.72,35.18,40878.71,97.79,75870.87,181.5
7,SECO,1938,64624.84,98.21,59018.22,83.25,53197.16,77.01,41785.34,76.43,33534.54,84.21,25481.22,78.38,22237.06,86.95,18444.31,89.88,16080.85,81.93,21816.51,92.24,26681.52,84.93,46346.43,96.44,16080.85,38.47,35770.67,85.57,64624.84,154.6
8,SECO,1939,65742.06,99.91,67931.86,95.82,45868.69,66.4,40958.11,74.92,32685.31,82.07,24024.45,73.9,18726.12,73.22,14969.86,72.95,13492.15,68.74,15959.2,67.47,28901.43,91.99,44957.9,93.55,13492.15,32.28,34518.1,82.58,67931.86,162.51
9,SECO,1940,66633.04,101.27,89863.79,126.76,86105.56,124.65,53644.73,98.12,40825.47,102.51,30245.42,93.04,23926.15,93.56,20451.07,99.66,18182.24,92.64,18064.2,76.37,35992.78,114.57,42625.46,88.7,18064.2,43.21,43879.99,104.97,89863.79,214.97
10,SECO,1941,57804.45,87.85,51950.19,73.28,55720.21,80.66,50923.83,93.14,32517.3,81.65,25679.57,78.99,21699.93,84.85,19843.4,96.7,21730.63,110.72,27460.15,116.1,34173.37,108.78,49740.8,103.51,19843.4,47.47,37436.99,89.56,57804.45,138.28
11,SECO,1942,56227.91,85.45,66693.89,94.08,78454.55,113.58,61066.65,111.69,43544.68,109.34,40770.57,125.41,30748.75,120.23,21334.13,103.96,21144.73,107.73,23663.17,100.04,32289.19,102.78,47800.57,99.47,21144.73,50.58,43644.9,104.41,78454.55,187.68
12,SECO,1943,90273.65,137.19,86089.39,121.43,84705.95,122.63,56175.97,102.75,38298.01,96.17,31877.03,98.06,23924.32,93.55,18857.14,91.89,17261.76,87.95,27154.43,114.8,38983.76,124.09,49448.91,102.9,17261.76,41.29,46920.86,112.25,90273.65,215.96
13,SECO,1944,46034.62,69.96,61976.41,87.42,68208.3,98.74,46837.48,85.67,31629.74,79.42,23528.12,72.37,18883.97,73.84,15157.69,73.87,13043.09,66.46,14718.43,62.23,28640.19,91.16,35308.66,73.47,13043.09,31.2,33663.89,80.53,68208.3,163.17
14,SECO,1945,52471.46,79.74,86594.94,122.15,80186.03,116.08,78618.28,143.8,46822.55,117.57,32643.64,100.41,28330.88,110.78,19257.25,93.84,16942.23,86.32,20753.66,87.74,36035.14,114.7,68439.05,142.42,16942.23,40.53,47257.93,113.05,86594.94,207.16
15,SECO,1946,91300.61,138.75,76513.59,107.93,85936.09,124.41,60060.11,109.85,41179.35,103.4,34428.49,105.91,33110.53,129.47,22546.35,109.87,18343.58,93.46,23144.77,97.85,27777.46,88.42,38095.97,79.27,18343.58,43.88,46036.41,110.13,91300.61,218.41
16,SECO,1947,64784.44,98.46,75499.14,106.5,109291.02,158.22,70238.99,128.47,43717.87,109.78,31965.02,98.33,26565.07,103.88,22705.22,110.65,26391.71,134.47,27942.59,118.14,30202.65,96.14,52319.71,108.87,22705.22,54.32,48468.62,115.95,109291.02,261.45
17,SECO,1948,62074.31,94.34,68479.08,96.59,72409.29,104.82,53065.59,97.06,34901.07,87.64,29402.37,90.44,22134.31,86.55,20214.21,98.51,15826.17,80.64,17610.85,74.46,26737.89,85.11,58696.79,122.14,15826.17,37.86,40129.33,96.0,72409.29,173.22
18,SECO,1949,63145.39,95.96,87402.68,123.29,68371.55,98.98,50562.57,92.48,37633.15,94.5,29110.84,89.55,22278.47,87.11,17581.03,85.68,14558.4,74.18,18274.02,77.26,25418.03,80.91,42011.46,87.42,14558.4,34.83,39695.63,94.96,87402.68,209.09
19,SECO,1950,54011.33,82.08,78705.57,111.02,72279.43,104.64,53911.04,98.61,38287.15,96.14,28095.04,86.42,22279.7,87.12,16440.41,80.12,13806.14,70.34,20595.5,87.07,35295.91,112.35,51976.4,108.16,13806.14,33.03,40473.64,96.82,78705.57,188.28
20,SECO,1951,65962.46,100.25,80211.09,113.14,82264.21,119.09,60447.47,110.56,39177.65,98.38,30447.63,93.66,23965.39,93.71,19121.67,93.18,16024.81,81.65,18316.79,77.44,21180.27,67.42,32799.46,68.25,16024.81,38.34,40826.58,97.67,82264.21,196.79
21,SECO,1952,43697.76,66.41,62848.08,88.65,91706.53,132.76,54701.85,100.05,35477.54,89.08,29993.49,92.26,22113.04,86.47,17321.08,84.41,16373.97,83.43,18828.28,79.6,28458.4,90.58,36010.18,74.93,16373.97,39.17,38127.52,91.21,91706.53,219.38
