,Sigla,Início Vigência,Fim Vigência,Subgrupo,Modalidade,Posto,Unidade,TUSD,TE
1,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul APE,Fora ponta,R$/kW,5.01,0.0
3,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta,R$/kW,5.01,0.0
5,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta,R$/MWh,16.67,0.0
7,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta seca,R$/MWh,16.67,144.52
9,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Fora ponta úmida,R$/MWh,16.67,129.11
11,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul APE,Ponta,R$/kW,18.28,0.0
13,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta,R$/kW,18.28,0.0
15,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta,R$/MWh,16.67,0.0
17,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta seca,R$/MWh,16.67,249.08
19,Amazonas Energia,2010-11-01,2011-10-31,A3,Azul,Ponta úmida,R$/MWh,16.67,222.53
21,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul APE,Fora ponta,R$/kW,10.98,0.0
23,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta,R$/kW,10.98,0.0
25,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta,R$/MWh,16.67,0.0
27,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta seca,R$/MWh,16.67,144.52
29,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Fora ponta úmida,R$/MWh,16.67,129.11
31,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul APE,Ponta,R$/kW,32.93,0.0
33,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Ponta,R$/kW,32.93,0.0
35,Amazonas Energia,2010-11-01,2011-10-31,A4,Azul,Ponta,R$/MWh,16.67,0.0
